storageLocation,category,family,itemColorKey,itemModel,color,size,ItemSKUKey,retailFP,outletFP,outletDiscount,currentOutletPrice,sumofTotalStock
IN TRANSIT,MEN RTW,COAT,BMC08F15PB280,LONG TEDDY COAT,BEIGE CAMEL,54,BMC08F15PB28054,"$4,950.00","$2,600.00",0%,"$2,600.00",1
IN TRANSIT,MEN RTW,SHIRT/TOP,BM610Z20GA101,BASE SHORT SLEEVE SHIRT,NATURAL,40,BM610Z20GA10140,"$1,100.00",$550.00,20%,$440.00,1
IN TRANSIT,MEN RTW,SWEATSHIRT,BMJ0HA3YMG001,SLIM FIT SWEATSHIRT,BLACK,M,BMJ0HA3YMG001M,$995.00,$530.00,0%,$530.00,1
IN TRANSIT,MEN RTW,SWEATSHIRT,BMJ0HC3YAC001,SLIM FIT HOODIE,BLACK,XS,BMJ0HC3YAC001XS,$950.00,$505.00,0%,$505.00,1
IN TRANSIT,MEN RTW,TROUSERS,BM51F714DL001,EXTRA WIDE LEG TROUSERS,BLACK,48,BM51F714DL00148,"$1,200.00",$600.00,20%,$480.00,1
IN TRANSIT,MEN RTW,T-SHIRT,BM716G3YEL001,SLIM FIT T-SHIRT,BLACK,XL,BM716G3YEL001XL,$590.00,$380.00,0%,$380.00,1
IN TRANSIT,MEN RTW,T-SHIRT,BM716G3YEL100,SLIM FIT T-SHIRT,WHITE,S,BM716G3YEL100S,$590.00,$380.00,0%,$380.00,1
IN TRANSIT,MEN RTW,T-SHIRT,BM71GY314J130,XSLIM  SHORT SLEEVES T-SHIRT,OFF WHITE,XL,BM71GY314J130XL,$850.00,$425.00,0%,$425.00,1
IN TRANSIT,WOMEN JEWELS,RING,BF30KMF003710,4G LIQUID GOLDEN RING,GOLDEN YELLOW,52,BF30KMF00371052,$350.00,$175.00,0%,$175.00,1
IN TRANSIT,WOMEN LEATHER GOODS,LARGE LEATHER GOODS,BB50J0B1NZ694,ANTIGONA LOCK - MINI BAG,BLACK/BROWN,UNKNOWN,BB50J0B1NZ694,"$2,650.00","$1,590.00",0%,"$1,590.00",1
IN TRANSIT,WOMEN RTW,OUTERWEAR,BW00GC4ZDG640,CROPPED BOMBER VARSITY,VERMILLON,L,BW00GC4ZDG640L,"$1,720.00",$875.00,0%,$875.00,1
IN TRANSIT,WOMEN RTW ACCESSORIES,SCARF,BG00GWG002651,PLUMETIS SMALL SQUARE 90X90,DARK PINK,UNKNOWN,BG00GWG002651,$450.00,$225.00,40%,$135.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0066R03K344,GV DAY SUNGLASSES,GREEN/ORANGE,UNKNOWN,BR0066R03K344,$260.00,$130.00,0%,$130.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0066R03K700,GV DAY SUNGLASSES,YELLOW,UNKNOWN,BR0066R03K700,$260.00,$130.00,0%,$130.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0073R042001,GV DAY SUNGLASSES,BLACK,UNKNOWN,BR0073R042001,$250.00,$125.00,40%,$75.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0076R03F713,4GEM SUNGLASSES,GUN METAL,UNKNOWN,BR0076R03F713,$600.00,$300.00,30%,$210.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0076R03F715,4GEM SUNGLASSES,GOLDEN,UNKNOWN,BR0076R03F715,$600.00,$300.00,30%,$210.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR007AR048244,GVDAY SUNGLASSES,BROWN/ORANGE,UNKNOWN,BR007AR048244,$260.00,$130.00,40%,$78.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR007AR048543,GVDAY SUNGLASSES,PURPLE/BLUE,UNKNOWN,BR007AR048543,$260.00,$130.00,40%,$78.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR007GR04A001,GIV CUT SUNGLASSES,BLACK,UNKNOWN,BR007GR04A001,$600.00,$300.00,0%,$300.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR007GR04A008,GIV CUT SUNGLASSES,BLACK/SILVERY,UNKNOWN,BR007GR04A008,$600.00,$300.00,0%,$300.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR007GR04A305,GIV CUT SUNGLASSES,KHAKI,UNKNOWN,BR007GR04A305,$600.00,$300.00,0%,$300.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR007GR04M100,GIV CUT SUNGLASSES,WHITE,UNKNOWN,BR007GR04M100,$600.00,$300.00,0%,$300.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR007GR04M200,GIV CUT SUNGLASSES,BROWN,UNKNOWN,BR007GR04M200,$600.00,$300.00,0%,$300.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR007PR03M132,4G SUNGLASSES,WHITE/SILVERY,UNKNOWN,BR007PR03M132,$390.00,$195.00,0%,$195.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR008CR04G218,GIV CUT SUNGLASSES,HAVANNA,UNKNOWN,BR008CR04G218,$600.00,$300.00,40%,$180.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR008SR04P701,GIV CUT SUNGLASSES,DARK YELLOW,UNKNOWN,BR008SR04P701,$600.00,$300.00,0%,$300.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR008SR04P944,GIV CUT SUNGLASSES,ROSE GOLDEN,UNKNOWN,BR008SR04P944,$600.00,$300.00,0%,$300.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR008WR04R050,4G PEARL SUNGLASSES,LIGHT GREY,UNKNOWN,BR008WR04R050,$520.00,$260.00,0%,$260.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0091R03F715,GVSPEED SUNGLASSES,GOLDEN,UNKNOWN,BR0091R03F715,$270.00,$135.00,0%,$135.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0092R03K675,GVDAY SUNGLASSES,FUCHSIA,UNKNOWN,BR0092R03K675,$270.00,$135.00,0%,$135.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0095R04M000,GIV CUT SUNGLASSES,TRANSPARENT,UNKNOWN,BR0095R04M000,$600.00,$300.00,0%,$300.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0095R04M001,GIV CUT SUNGLASSES,BLACK,UNKNOWN,BR0095R04M001,$600.00,$300.00,40%,$180.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0095R04M300,GIV CUT SUNGLASSES,GREEN,UNKNOWN,BR0095R04M300,$600.00,$300.00,40%,$180.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0095R04M734,GIV CUT SUNGLASSES,FLUO YELLOW,UNKNOWN,BR0095R04M734,$600.00,$300.00,40%,$180.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0095R04M831,GIV CUT SUNGLASSES,ORANGE FLUO,UNKNOWN,BR0095R04M831,$600.00,$300.00,40%,$180.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0097R04A001,GIV CUT CAGE SUNGLASSES,BLACK,UNKNOWN,BR0097R04A001,$600.00,$300.00,0%,$300.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0099R04U001,G RIDE SUNGLASSES,BLACK,UNKNOWN,BR0099R04U001,$440.00,$220.00,40%,$132.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0099R04U410,G RIDE SUNGLASSES,NAVY,UNKNOWN,BR0099R04U410,$440.00,$220.00,40%,$132.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR0099R04U726,G RIDE SUNGLASSES,GOLDEN/GREEN,UNKNOWN,BR0099R04U726,$440.00,$220.00,40%,$132.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR009FR03M001,4G SUNGLASSES,BLACK,UNKNOWN,BR009FR03M001,$450.00,$225.00,40%,$135.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR009FR03M100,4G SUNGLASSES,WHITE,UNKNOWN,BR009FR03M100,$450.00,$225.00,40%,$135.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR009HR03K601,GV DAY SUNGLASSES,DARK RED,UNKNOWN,BR009HR03K601,$260.00,$130.00,0%,$130.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR009LR03M005,SHOW SUNGLASSES,BLACK/GOLDEN,UNKNOWN,BR009LR03M005,$360.00,$180.00,0%,$180.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR009VR03F690,GV SPEED SUNGLASSES,PINK/GOLDEN,UNKNOWN,BR009VR03F690,$290.00,$145.00,0%,$145.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR009XR051341,4G LIQUID PLAGE SUNGLASSES,AQUA GREEN,UNKNOWN,BR009XR051341,$440.00,$220.00,40%,$132.00,2
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR009XR051685,4G LIQUID PLAGE SUNGLASSES,CORAL,UNKNOWN,BR009XR051685,$440.00,$220.00,40%,$132.00,1
US - OUTLET NY WOODBURY				,EYEWEAR,SUNGLASSES,BR00AJR04P040,GIV CUT MASK SUNGLASSES,SILVERY,UNKNOWN,BR00AJR04P040,$600.00,$300.00,0%,$300.00,2
